"date","ET0","RAD","TMX","TMA","TMN","HMX","HMN","PRE","WIN"
2005-02-05,1.72,13.53,13.43,7.83,3.65,58.39,27.44,0.66,0.85
2005-02-12,1.7,13.09,12.06,6.1,0.49,78.16,30.58,2.9,1.19
2005-02-19,1.36,12.74,1.76,-1.69,-5.08,63.13,32.66,1.38,1.44
2005-02-26,1.49,14.96,5.68,1.09,-3.88,78.37,36.07,0.91,1.25
2005-03-05,1.57,15.62,8.74,2.45,-1.86,68.27,32.95,0.42,0.76
2005-03-12,1.41,12.52,4.79,1.11,-3.01,71.95,40.05,2.52,1.28
2005-03-19,1.25,8.61,2.92,-1.32,-4.11,85.05,48.52,2.64,0.6
2005-03-26,1.17,15.44,1.19,-3.71,-8.02,64.7,30.27,2.17,0.84
2005-04-02,1.37,17.36,4.77,-0.38,-5.18,61.14,28.85,0.31,1.24
2005-04-09,1.81,17.32,12.26,6.43,1.7,70.56,30.79,0.86,0.89
2005-04-16,1.82,11.07,13.35,8.63,4.75,89.86,58.76,2.02,0.8
2005-04-23,1.55,10.74,10.5,5.87,2.95,90.56,57.24,3.83,0.68
2005-04-30,1.58,13.12,10.07,5.05,1.12,77.12,44.01,2.1,1.19
2005-05-07,1.35,7.96,8.17,4.56,1.64,82.87,56.5,2.49,0.86
2005-05-14,1.33,11.56,6.66,2.53,-1.67,83.72,48.27,3.57,0.8
2005-05-21,1.53,11.28,9.3,4.75,1.13,79.64,43.71,2.71,1.03
2005-05-28,2.17,16.7,14.32,8.28,3.51,77.34,30.77,2.2,1.02
2005-06-04,1.21,14.05,6.2,1.72,-1.71,79.69,37.66,2.09,1.02
2005-06-11,1.53,10.96,9.25,4.62,0.67,80.89,44.41,3.16,0.98
2005-06-18,2.05,15.13,12.7,7.09,2.25,77.55,38.81,1.51,0.97
2005-06-25,2.08,14.5,13.45,7.95,3.62,85.56,39.91,3.05,1.04
2005-07-02,1.2,16.44,5.57,0.96,-3.32,70.23,30.38,2.09,1.23
2005-07-09,1,8.64,6.56,2.89,0.09,83,49.63,2.31,0.86
